,MIN,TO,PTS,Ast%,Ast/100,Blk%,Blk/100,Box D-DPM,Box DPM,Box O-DPM,D-DPM,DPM,DPM Improvement,Experience,FG2%,FG3%,SEC,FG3A/100,FG3ARate%,FGA/100,FT%,FTA/100,FTARate%,O-DPM,Player,Reb/100,Stl%,Stl/100,Team,Tov/100,Usg%
293,2,1,0,25.10%,9.0,0.40%,0.4,-0.1,-1.0,-0.9,-0.2,-1.1,-0.6,Vet,43.70%,34.00%,0,6.4,36.50%,18.6,80.50%,4.8,24.70%,-1.0,Aaron Holiday,6.2,1.90%,1.9,Phoenix Suns,3.6,20.10%
373,1,1,2,7.30%,2.2,3.10%,2.7,0.5,-2.3,-2.8,1.2,-1.7,0.4,Vet,56.00%,15.00%,0,0.8,4.00%,13.4,50.20%,6.6,46.00%,-2.8,Bismack Biyombo,14.8,0.80%,0.8,Phoenix Suns,2.7,18.10%
376,4,0,0,8.30%,2.8,0.40%,0.4,-1.0,-1.8,-0.8,-0.8,-1.7,-0.5,Vet,48.10%,35.90%,0,10.5,65.70%,15.8,81.10%,2.7,16.80%,-0.9,Landry Shamet,4.4,1.00%,1.0,Phoenix Suns,1.3,15.50%
464,0,0,0,24.90%,8.6,0.50%,0.4,0.0,-2.0,-2.0,0.1,-2.4,-0.5,Vet,43.60%,28.10%,0,2.5,14.80%,16.8,50.80%,4.0,22.00%,-2.5,Elfrid Payton,7.7,2.00%,2.0,Phoenix Suns,4.2,19.60%
481,0,0,0,7.80%,2.5,1.40%,1.3,-0.6,-1.7,-1.1,-0.8,-2.7,-1.0,Vet,53.90%,32.30%,0,8.3,61.00%,13.7,70.40%,2.0,16.20%,-1.9,Torrey Craig,9.8,1.30%,1.3,Phoenix Suns,1.9,14.90%
494,0,0,0,21.80%,6.8,0.20%,0.3,-0.7,-3.0,-2.3,-0.7,-3.0,-1.0,Rookie,45.80%,32.00%,0,8.5,47.80%,17.0,73.20%,3.3,19.10%,-2.2,Gabriel Lundberg,6.2,1.90%,1.8,Phoenix Suns,2.8,17.50%
14,21,6,18,22.00%,7.1,0.80%,0.7,0.1,2.4,2.3,1.2,3.9,0.4,Vet,51.10%,28.70%,0,4.2,22.00%,22.6,85.80%,11.2,52.60%,2.6,Jimmy Butler,9.3,2.50%,2.4,Miami Heat,2.8,25.50%
22,25,5,20,15.70%,5.1,1.50%,1.4,1.5,1.9,0.4,1.8,2.8,0.8,Vet,58.80%,16.70%,0,0.6,4.10%,17.7,76.30%,8.7,50.90%,1.0,Bam Adebayo,15.2,1.90%,1.9,Miami Heat,3.7,23.00%
43,33,4,24,28.30%,9.7,0.50%,0.4,0.6,0.4,-0.2,1.1,2.0,0.2,Vet,48.30%,34.30%,0,9.8,69.00%,13.4,81.10%,4.7,31.10%,0.8,Kyle Lowry,6.6,1.50%,1.5,Miami Heat,3.4,16.30%
79,22,4,10,6.10%,1.9,1.00%,0.9,1.3,1.3,0.0,1.2,1.1,2.2,Vet,52.50%,34.40%,0,6.7,42.60%,15.1,72.60%,3.6,23.30%,-0.1,Caleb Martin,8.1,2.10%,2.1,Miami Heat,1.9,15.90%
135,8,3,2,8.40%,2.9,0.50%,0.5,-0.7,0.2,0.9,-0.5,0.3,0.8,Vet,57.80%,36.80%,0,13.6,79.60%,16.8,77.00%,1.9,14.40%,0.8,Max Strus,5.9,1.10%,1.1,Miami Heat,1.5,17.00%
147,21,2,10,8.50%,2.7,0.50%,0.4,-0.8,-0.1,0.7,-0.3,0.2,-0.8,Vet,57.60%,35.30%,0,16.5,94.30%,16.1,82.80%,1.9,16.30%,0.4,Duncan Robinson,5.1,1.00%,1.0,Miami Heat,1.4,16.40%
171,28,0,24,20.70%,6.6,0.40%,0.3,-0.5,0.9,1.4,-0.9,-0.1,1.4,Vet,49.40%,36.20%,0,10.3,41.60%,23.9,85.30%,5.0,23.00%,0.9,Tyler Herro,7.6,1.10%,1.1,Miami Heat,3.6,25.90%
203,12,1,10,20.70%,6.2,0.50%,0.5,0.8,0.8,0.0,0.7,-0.4,0.0,Vet,48.20%,33.00%,0,9.9,48.40%,20.5,77.90%,5.6,24.70%,-1.1,Victor Oladipo,7.0,1.90%,2.0,Miami Heat,3.5,22.80%
213,15,2,6,6.00%,1.8,2.50%,2.2,1.3,-0.2,-1.5,1.2,-0.4,-1.2,Vet,58.80%,29.50%,0,3.5,20.70%,14.1,72.90%,4.9,32.70%,-1.7,Dewayne Dedmon,17.4,1.30%,1.3,Miami Heat,2.9,17.70%
236,5,2,0,9.20%,3.2,0.50%,0.4,0.7,-1.1,-1.8,1.5,-0.6,1.0,Vet,50.60%,34.70%,0,4.5,45.10%,10.4,74.30%,1.7,15.80%,-2.1,P.J. Tucker,10.0,1.50%,1.5,Miami Heat,1.4,10.90%
305,7,1,2,9.70%,2.9,1.60%,1.4,0.5,-1.0,-1.6,0.3,-1.2,2.0,Sophomore,53.40%,24.50%,0,1.9,8.90%,18.2,61.10%,5.1,28.50%,-1.5,Omer Yurtseven,18.9,1.10%,1.1,Miami Heat,2.5,20.20%
363,0,1,0,16.70%,6.4,0.30%,0.3,-0.4,-1.8,-1.4,-0.3,-1.6,0.6,Vet,48.70%,34.80%,0,9.8,63.30%,15.2,81.10%,1.9,14.20%,-1.3,Gabe Vincent,4.3,1.80%,1.8,Miami Heat,2.6,15.40%
402,4,0,0,11.20%,3.2,0.70%,0.6,-0.2,-1.8,-1.6,-0.3,-1.9,0.6,Rookie,45.90%,29.70%,0,8.6,50.90%,16.0,74.60%,3.0,19.40%,-1.6,Javonte Smart,6.1,1.60%,1.5,Miami Heat,2.3,16.00%
421,0,0,0,9.60%,2.9,0.70%,0.6,-0.6,-2.8,-2.2,-0.4,-2.0,0.0,Vet,44.80%,32.10%,0,8.1,42.20%,19.3,71.70%,2.5,14.10%,-1.7,Markieff Morris,9.4,1.00%,1.1,Miami Heat,2.8,19.80%
433,0,0,0,5.50%,1.8,0.60%,0.5,-1.0,-2.3,-1.3,-0.9,-2.1,-1.0,Vet,48.60%,35.70%,0,10.1,71.60%,13.4,76.30%,1.8,16.20%,-1.2,Mychal Mulder,4.8,0.90%,0.9,Miami Heat,1.5,14.20%
497,0,0,0,7.90%,2.4,1.00%,0.8,-1.0,-3.2,-2.2,-1.1,-3.2,-0.6,Vet,48.40%,29.60%,0,8.5,55.10%,15.0,59.50%,3.4,20.50%,-2.2,Haywood Highsmith,8.2,1.20%,1.2,Miami Heat,2.0,16.10%
505,0,0,0,5.70%,2.1,0.90%,0.7,-0.6,-4.9,-4.2,-0.2,-4.8,-0.3,Vet,45.80%,21.40%,0,2.9,18.40%,12.5,52.40%,1.0,10.40%,-4.6,Udonis Haslem,13.5,1.00%,1.0,Miami Heat,1.9,14.40%
